Designator,Manufacturer Part Number or Seeed SKU,Qty,Link,
ANT1,0868AT43A0020E,1,https://www.digikey.com/en/products/detail/johanson-technology-inc/0868AT43A0020E/1833756,
ANT2,U.FL-R-SMT-1(10),1,https://www.digikey.ca/en/products/detail/hirose-electric-co-ltd/U-FL-R-SMT-1-10/2391570,
BT1,ML414H-IV01E,1,https://www.mouser.co.uk/ProductDetail/Seiko-Instruments-Micro-Energy/ML414H-IV01E?qs=vrQyzjTsotnxZE%2FMgVJo0g%3D%3D,
"C1, C8, C17, C19, C20, C21, C23, C31",298D225X0016M2T,8,https://www.digikey.ca/en/products/detail/vishay-sprague/298D225X0016M2T/1973821,
C18,T491A154K035AT,1,https://www.digikey.ca/en/products/detail/kemet/T491A154K035AT/2336184,
"C2, C9, C16, C24",T491A104M035AT,4,https://www.digikey.ca/en/products/detail/kemet/T491A104M035AT/818538,
"C25, C30",CC0603KRX7R8BB224,2,https://www.digikey.ca/en/products/detail/yageo/CC0603KRX7R8BB224/5195211,
"C27, C36",TAJA106K016RNJ,2,https://www.digikey.ca/en/products/detail/kyocera-avx/TAJA106K016RNJ/563762,
"C3, C13, C14, C28",CC0603KRX7R8BB105,4,https://www.digikey.ca/en/products/detail/yageo/CC0603KRX7R8BB105/5195210,
C39,C1608C0G1H221J080AA,1,https://www.digikey.ca/en/products/detail/C1608C0G1H221J080AA/445-1285-1-ND/567659?curr=usd&utm_campaign=buynow&utm_medium=aggregator&utm_source=octopart,
"C4, C5, C10, C15, C22, C33",CC0603KRX5R6BB475,6,https://www.digikey.ca/en/products/detail/yageo/CC0603KRX5R6BB475/2833620,
"C6, C26, C29, C32, C34, C35, C37, C38",CC0603KRX7R9BB104,8,https://www.digikey.ca/en/products/detail/yageo/CC0603KRX7R9BB104/2103082,
C7,C0603C474J4RACTU,1,https://www.digikey.ca/en/products/detail/C0603C474J4RAC7867/399-C0603C474J4RAC7867CT-ND/3316954,
D1,"BAS16J,115",1,https://www.digikey.ca/en/products/detail/nexperia-usa-inc/BAS16J-115/1692651,
"D15, D20",SK34A-LTP,2,https://www.digikey.ca/en/products/detail/micro-commercial-co/SK34A-LTP/2642021,
D16,LTST-S270KSKT,1,https://www.digikey.ca/en/products/detail/liteon/LTST-S270KSKT/386897,
D18,BAT60AE6327HTSA1,1,https://www.digikey.ca/en/products/detail/infineon-technologies/BAT60AE6327HTSA1/1280934,
D19,BAS70-05-7-F,1,https://www.digikey.ca/en/products/detail/diodes-incorporated/BAS70-05-7-F/768681,
"D2, D3, D4, D21",LTST-S270GKT,4,https://www.digikey.ca/en/products/detail/liteon/LTST-S270GKT/386887,
"D5, D17",LTST-S270EKT,3,https://www.digikey.ca/en/products/detail/liteon/LTST-S270EKT/386885,
F1,MF-NSMF200-2,1,https://www.digikey.ca/en/products/detail/bourns-inc/MF-NSMF200-2/1232785,
FB1,MMZ1608B601CTAH0,1,https://www.digikey.ca/en/products/detail/tdk-corporation/MMZ1608B601CTAH0/600533,
H5,9774025151R,1,https://www.digikey.ca/en/products/detail/würth-elektronik/9774025151R/5320621,
J1,SJ-43516-SMT,1,https://www.digikey.ca/en/products/detail/cui-devices/SJ-43516-SMT-TR/669721,
J10,BM04B-SRSS-TB(LF)(SN),1,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/BM04B-SRSS-TB-LF-SN/926696?s=N4IgTCBcDaIEIFkAMAWOBaAygJU59AKnABQAyAYgJTGYBylIAugL5A,
J15,BM06B-SRSS-TB(LF)(SN),1,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/BM06B-SRSS-TB-LF-SN/926698?s=N4IgTCBcDaIEIFkAMA2OBaAygJU59AKnABQAyAYgJTGYBylIAugL5A,
J2,ST-TF-003A,1,0,
J4,BM06B-SRSS-TB(LF)(SN),1,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/BM06B-SRSS-TB-LF-SN/926698,
J5,BM04B-SRSS-TB(LF)(SN),1,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/BM04B-SRSS-TB-LF-SN/926696,
"J6, J8",S2B-PH-SM4-TB(LF)(SN),2,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/S2B-PH-SM4-TB-LF-SN/926655,
J7,2199230-4,1,https://www.digikey.ca/en/products/detail/te-connectivity-amp-connectors/2199230-4/4208915,
J9,USB4105-GF-A,1,https://www.digikey.ca/en/products/detail/gct/USB4105-GF-A/11198441,
LS1,102-CMT-7525-80-SMT-TR-ND,1,https://www.digikey.ca/en/products/detail/cui-devices/CMT-7525-80-SMT-TR/10326185,
MK1,ICS-43432,1,https://www.digikey.ca/en/products/detail/tdk-invensense/ICS-43432/5252320,
MK2,SPH0645LM4H-B,1,https://www.digikey.ca/en/products/detail/knowles/SPH0645LM4H-B/5332440,
R1,RC0603JR-07200KL,1,https://www.digikey.ca/en/products/detail/yageo/RC0603JR-07200KL/726738,
R10,RC0603FR-0720KL,1,https://www.digikey.ca/en/products/detail/yageo/RC0603FR-0720KL/727040,
"R12, R13",ERJ3EKF5101V,2,https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-3EKF5101V/1746427,
"R14, R15",RC0603JR-070RL,2,https://www.digikey.ca/en/products/detail/yageo/RC0603JR-070RL/726675,
R17,LR1206-21R010J4,1,https://file.elecfans.com/web2/M00/22/31/poYBAGGm5K-AKo01AAzE9Z1YTYw216.pdf,
"R2, R34, R35",RC0603JR-072K2L,3,https://www.digikey.ca/en/products/detail/yageo/RC0603JR-072K2L/726729,
"R23, R40, R6, R7, R8",RC0603JR-071KL,5,https://www.digikey.ca/en/products/detail/yageo/RC0603JR-071KL/726677,
"R3, R18, R21, R36",RC0603FR-07100KL,4,https://www.digikey.ca/en/products/detail/yageo/RC0603FR-07100KL/726889,
R32,RC0603FR-073K3L,1,https://www.digikey.ca/en/products/detail/yageo/RC0603FR-073K3L/727126,
R39,RC0603FR-07590RL,1,https://www.digikey.ca/en/products/detail/yageo/RC0603FR-07590RL/727314,
"R5, R11, R24",RC0603JR-074K7L,3,https://www.digikey.ca/en/products/detail/yageo/RC0603JR-074K7L/726785,
"R9, R38, R41, R42, R43, R44",RC0603JR-0710KL,6,https://www.digikey.ca/en/products/detail/yageo/RC0603JR-0710KL/726700,
"SW1, SW2",SKQGADE010,2,https://www.mouser.co.uk/ProductDetail/Alps-Alpine/SKQGADE010?qs=N5Jky1br14PCAY42dbciFw%3D%3D,
"TH1, TH2, TH3, TH4",NTCG163JX103DT1S,4,https://www.digikey.ca/en/products/detail/tdk-corporation/NTCG163JX103DT1S/5981596,
TR1,MMBT2222ATPMSTR-ND,1,https://www.digikey.ca/en/products/detail/micro-commercial-co/MMBT2222A-TP/717279,
U1,SGTL5000XNAA3,1,https://www.digikey.ca/en/products/detail/nxp-usa-inc/SGTL5000XNAA3/2186897,
U10,TSL25911FN,1,https://www.digikey.ca/en/products/detail/ams-osram/TSL25911FN/4162547,
U2,AP7313-18SAG-7,1,https://www.digikey.ca/en/products/detail/diodes-incorporated/AP7313-18SAG-7/2270804,
"U3, U4",AP2112K-3.3TRG1,2,https://www.digikey.ca/en/products/detail/diodes-incorporated/AP2112K-3-3TRG1/4470746,
U5,BQ27441DRZT-G1A,1,https://www.digikey.ca/en/products/detail/texas-instruments/BQ27441DRZT-G1A/4733013,
U6,BQ24074RGTR,1,https://www.digikey.ca/en/products/detail/texas-instruments/BQ24074RGTR/2047269,
U7,317990829,1,https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/317990829/16128313,
U8,1662-1407-2-ND,1,https://www.digikey.ca/en/products/detail/ablic-inc/S-1172B33-E6T1U/6114282,
U9,BME680,1,https://www.digikey.ca/en/products/detail/bosch-sensortec/BME680/7401317,
